ADOPTION_ID,USER_ID,CATEGORY_ID,SUBCATEGORY_ID,NAME,IMAGE_URL,AGE,LOCATION,REASON,HEALTH,LATEST_HEALTH_CHECK,VACCINATION,CARE_NEEDS,DIETARY_NEEDS,BEHAVIOR,NEUTERED_OR_SPAYED,NOTES,STATUS,GENDER,APPENDIX_URL
1,6,5,506,米奇,PetAdoptionImages/86om31vm2m0yx4gwoizbwtsxh4ci3f3uvn3hndkunbcmunyy9lit18zhwy81bmpw.jpg,1,上海市 / 上海市 / 浦东新区,因个人工作调动，无法继续照顾这对我来说是一个艰难的决定，因为我非常喜欢米奇，但为了他的幸福着想，我希望为他找到一个能够给他爱和关怀的新家,米奇身体健康状况良好，活泼好动，定期接受健康检查以确保他的身体状况最佳,2024-07-08 16:00:00,无需接种,,米奇偏好新鲜蔬菜作为零食，并主要食用高品质的专用鼠粮。建议每天提供适量的新鲜水和食物，保证其营养均衡。特别喜欢胡萝卜和苹果，这些可以作为偶尔的小奖励,米奇性格非常友好，喜欢与人互动，尤其是对熟悉的人特别亲近。他非常好奇且充满活力，在晚上会更加活跃。适合喜欢与宠物互动的家庭领养,0,领养者将获得米奇目前使用的全套装备，包括一个宽敞且通风良好的笼子、食盆、水壶以及一些玩具，如跑轮和磨牙棒等，这些都是为了确保米奇的生活质量而精心挑选的,0,0,
2,15,2,204,,PetAdoptionImages/se4ik59tasj143ffw32ublbqzehqorm5kz2wjqe5ut4jx4865fm4aixo29bt520q.jpg,3,北京市 / 北京市 / 朝阳区,由于家庭成员对猫毛过敏，尽管我们非常不舍，但不得不为小橘寻找一个新的家。我们希望为她找到一个能够给她足够关爱和照顾的新家庭,小橘身体健康状况良好，毛色亮丽，活泼好动,2024-09-07 16:00:00,已完成基础疫苗接种，包括猫三联苗及猫艾滋病病毒疫苗,,小橘偏好高质量的猫粮，并且特别喜欢新鲜肉类作为零食。建议每天提供适量的新鲜水和食物，保证其营养均衡。她特别喜欢鸡肉和鱼肉，这些可以作为偶尔的小奖励,小橘性格非常温和，亲人，能够与小孩子和其他猫咪和平相处。她非常聪明，能够很快学会使用猫砂盆。适合喜欢与宠物互动的家庭领养,1,领养者将获得小橘目前使用的全套装备，包括一个舒适的猫窝、猫砂盆、食盆、水碗以及一些玩具，如毛线球和小老鼠玩具等，这些都是为了确保小橘的生活质量而精心挑选的,0,1,
3,2,1,110,雷克斯,PetAdoptionImages/t4dh0c1gd2m5f61mryrszjoeepsnxr8z466gdeeba3jtv1r3u8p7tz1njkm66gxj.jpg,4,北京市 / 北京市 / 东城区,由于即将搬家至一个无法携带宠物的新居，我们不得不为雷克斯寻找一个新的家。这是一个艰难的决定，因为我们非常爱他，但我们相信他值得拥有一个充满爱的新家庭,雷克斯身体健康状况非常好，活泼好动，精力充沛,2024-08-31 16:00:00,已完成基础疫苗接种，包括狂犬病疫苗,,,友好且聪明，能够很好地与小孩子、猫咪以及其他狗狗相处；懂得在指定地点大小便，能听懂基本指令,1,雷克斯喜欢户外活动，每天需要外出散步至少两次，以保持他的活力和健康。他只在有草地的地方大小便，这对于新主人来说需要注意提供合适的环境,1,0,
4,19,2,211,小米,PetAdoptionImages/ks77pss165ny5a38e7xivtw3eu1z0hip1f2jn9d4prlei6ht368ez92qvn4tyhep.jpg,2,上海市 / 上海市 / 黄浦区,计划长期出国或频繁出差，无法确保猫咪得到稳定的照顾,健康良好，定期体检，无遗传疾病史,2024-07-19 16:00:00,已完成基础疫苗接种，包括猫三联苗及狂犬病疫苗,小米需要每周至少梳理一次毛发以减少掉毛，同时还需要定期清洁耳朵。这些简单的护理步骤有助于保持他的健康和舒适,需要高质量的猫粮，避免喂食含大量谷物的产品，偶尔可以喂一些煮熟的鸡肉或鱼肉作为奖励,,0,小米非常适合需要一个温暖陪伴的家庭，无需特别复杂的照料。他喜欢室内活动，偶尔也会欣赏窗外的景色,0,0,
5,17,2,205,云朵,PetAdoptionImages/6lgd2eohxaas2n7gc9kfeya9x3cj1xymmlw5kz1lfa8w5mbbiqmuqhv45pm85oh2.jpg,1,广东省 / 广州市 / 白云区,因工作调动至国外，新居所暂时无法满足饲养宠物的需求，因此不得不为心爱的云朵寻找一个充满爱心的新家,云朵身体健康，活泼好动，总是充满活力，是家中的一道亮丽风景线,2024-07-14 16:00:00,已完成基础疫苗接种，包括猫三联苗、猫白血病病毒疫苗及猫艾滋病病毒疫苗,,云朵偏好高质量的成猫干粮与适量湿粮的混合喂食方式，并偶尔会享受一些煮熟的鸡肉作为奖励，这样的饮食习惯有助于维持它的健康状态,温顺友好，喜欢亲近人，对儿童特别温柔；与其他猫咪相处融洽；懂得使用猫砂盆，在指定地点大小便,0,云朵是一只非常聪明且适应力强的布偶猫，很容易融入新环境，适合有小孩的家庭领养,0,0,
6,12,2,204,米团,PetAdoptionImages/0yjx2dk7lwd12tx0fkd67ripmbgpt1nfwj3f62jm9vlzr9c1n76o2xgtgq5srokb.jpg,2,广东省 / 深圳市 / 福田区,由于个人居住空间变小，为了给米团更好的生活环境，希望为它找到一个更宽敞、更适合它的家庭,米团身体健康，活力充沛，定期接受专业的体检，以确保它始终保持最佳状态,2024-08-24 16:00:00,已完成基础疫苗接种，包括猫三联苗、猫白血病病毒疫苗及猫艾滋病病毒疫苗,需进行常规的毛发梳理和牙齿清洁，以保持其良好的卫生习惯和健康状态,米团偏好高质量的成猫专用干粮，偶尔会搭配一些湿粮以增加水分摄入，这有助于维持其良好的消化系统功能；它还特别喜欢喝清水,米团性格极其温和，几乎没有任何脾气，对新环境适应能力极强，通常只需要几分钟就能完全放松下来并开始探索周围环境。与小孩子和其他猫咪都能友好相处，非常适合有小孩或多宠家庭,1,,0,1,
7,10,2,211,小影,PetAdoptionImages/jt7htba5qc6e6wastxs1rrorto5elagk5akbr8ccqozq5qkozoid37g9a4hr1v5b.jpg,3,四川省 / 成都市 / 锦江区,因工作调动需要长期出差，无法继续给予小影足够的陪伴，希望找到一位能够给予它足够关爱的新主人,小影身体健康，活泼好动，定期接受专业的健康检查,2024-09-05 16:00:00,已完成基础疫苗接种，包括猫三联苗,,确保每天有足够的清水供应,小影性格温和，特别喜欢静静地陪伴在主人身边，尤其爱看电视。它不吵闹，也不乱跑乱跳，适合安静的家庭环境。对新环境适应能力强，容易与人建立信任关系,0,小影是一只非常贴心的狸花猫，它喜欢与人亲近，能够成为主人的好伙伴，它懂得使用猫砂盆，且有良好的卫生习惯,0,0,
8,1,3,303,金宝,PetAdoptionImages/kp7x2mjo6pw2q9zlr9z71y8vwfl6wcf3whnxvrb9y1rqgaipf464vh4d7gdzto7n.jpg,1,重庆市 / 重庆市 / 渝中区,由于搬家无法携带金宝一同前往新居，希望能给金宝找一个充满爱的新家，让它继续快乐地生活,金宝的身体状况良好，颜色鲜艳，鳞片光滑，整体看起来非常健康,2024-08-07 16:00:00,无需接种,金宝需要一个稳定的环境，保持水质清洁非常重要。建议定期更换水，并且要避免水质的突然变化，这对金宝的健康至关重要,金宝可以喂食专门的金鱼饲料，以确保其营养均衡。偶尔还可以喂一些煮熟的蔬菜，例如豌豆或菠菜，但需要注意的是这些食物需要切成小块，并且喂食量要适量，以免影响消化,金宝性格温顺，喜欢游动探索，对人非常友好，当主人靠近时，它会游向水面，似乎在期待与人的互动。金宝对新环境适应能力强，容易与人建立起亲密的关系,1,金宝是一只非常活泼的雌性金鱼，喜欢在水中植物间穿梭，能给家庭带来欢乐。它非常适合那些喜欢观赏鱼类的家庭，可以成为家庭中的一个亮点,1,1,
9,3,3,305,小霓,PetAdoptionImages/k7ggueyxnchj4guxuc7c6ml5ud1i4peqv6idos0a7u2t66na5t9kea2z3u6gvivw.jpg,1,浙江省 / 杭州市 / 余杭区,因个人工作调动，未来居住地难以提供适宜的养鱼条件，希望能给小霓找到一个有爱心的新家,小霓身体健康，颜色鲜艳，没有明显的疾病迹象,2024-07-27 16:00:00,无需接种,需要维持稳定的水质条件，pH值应在5.5-7.0之间，水温应在22-26°C,可以喂食高质量的人工饲料，也可以适当给予活饵,小霓性格温和，群居时最为活跃，喜欢和其他红绿灯鱼一起游动。它们在群体中游动时，就像一道流动的彩虹，非常吸引人的眼球,1,小霓是群居鱼种，建议与同种鱼一起饲养，以保持其自然行为和减少压力。它们非常适合放在一个有足够空间的水族箱中，与其它温和的鱼种一起生活，共同营造出一个和谐美丽的水下世界,0,0,
10,7,3,308,墨影,PetAdoptionImages/yfydcq8uhtgokli0mja870ezl027pvojr1t1ybca56lv87g0nme8bv6prxzsz5z5.jpg,1,江苏省 / 南京市 / 玄武区,由于家庭成员对鱼缸维护产生了过敏反应，我们不得不做出艰难的决定，希望为墨影找到一个充满爱心的新家，让它能够继续享受快乐的生活,墨影身体状况良好，活力充沛，无明显疾病迹象,2024-08-03 16:00:00,无需接种,需要保持稳定的水质条件，包括pH值在6.0-7.8之间，水温在22-26°C,墨影可以接受各种高质量的热带鱼饲料，包括冻干食物、活饵如蚊子幼虫和小型水蚤。为了保持其健康状态，建议提供多样化的食物，并注意适量喂食，以避免过度喂食导致水质恶化,墨影性格温和，群居时最为活跃。它喜欢和其他黑裙鱼一起游动，非常适合与同类或其他温和的小型鱼一起饲养，形成一个和谐的社群,1,墨影是群居鱼种，建议至少成群饲养5条以上，以保持其自然行为和减少压力,0,1,
11,4,3,309,云翼,PetAdoptionImages/vfhjzw3knid0jjj0qfuyh99urciyh5fdcumw8577cuucnlzmdhldquvlbfhhphzg.jpg,3,湖北省 / 武汉市 / 武昌区,由于工作调动，需要频繁出差，无法继续提供云翼所需的日常照料和水族箱维护，希望能为云翼找到一个能给予更多关注和关怀的新家，让它能够继续快乐地生活,状况良好，活泼好动，没有明显的疾病迹象,2024-09-03 16:00:00,无需接种,需要维持水质稳定，包括pH值在6.5-7.5之间，硬度适中，水温保持在24-28°C，建议每周更换大约25%的水，并确保水族箱内的过滤系统良好运作，以保持水质清洁,云翼可以接受各种高质量的热带鱼饲料，包括片状、颗粒状食物以及偶尔的活饵或冷冻干燥食物,云翼性格较为温和，但作为成年神仙鱼，有时可能表现出一定的领地性。适合与同种或其他大型温和鱼种一起饲养,1,云翼习惯于较大的水族箱空间，并喜欢有遮蔽物和开放游泳区的环境布置。这样的环境不仅能让它感到安全，也能促进其自然行为的发展,0,0,
12,9,4,407,阳光,PetAdoptionImages/1eppe96jeb9iswxi6ikjv7c27a464geno90q1y5a5dt45zyq8j4pa966gt0mgg99.jpg,4,天津市 / 天津市 / 和平区,由于个人健康问题，无法继续提供足够的陪伴和照料，希望能为阳光找到一个充满爱心的新家,阳光身体健康，精力充沛，没有已知的健康问题。她一直保持着积极的生活态度，非常适合活跃的家庭,2024-07-12 16:00:00,已完成基础疫苗接种，包括禽流感疫苗,阳光需要定期的羽翼修剪和爪子修剪，以保持她的整洁和舒适。此外，每年至少进行一次全面的兽医检查，以确保她的健康状况良好,阳光喜欢多样化的饮食，包括新鲜水果、蔬菜、种子和高质量的鹦鹉颗粒饲料。避免喂食含糖量高的食物和油炸食品,阳光性格开朗且好奇，非常喜欢互动，能够模仿简单的词语和声音。需要每天有足够的社交时间和玩耍时间来保持快乐和健康,1,阳光对嘈杂的声音比较敏感，需要一个相对安静的环境，以避免过度的压力。她非常适合那些愿意花时间与鹦鹉互动的家庭,1,1,
13,2,4,404,小云,PetAdoptionImages/opd6exov00z18ch4ib1w2b1qdrvcor3gg3bme183nxhtxlfmimx7rld56doighql.jpg,3,陕西省 / 西安市 / 碑林区,搬家至不允许养宠物的新住所，希望能为小云找到一个温暖的家庭,小云身体状况良好，活泼好动，羽毛亮丽,2024-08-28 16:00:00,已完成基础疫苗接种，包括禽流感和PBFD疫苗,小云需要定期的羽毛护理，包括洗澡和偶尔的指甲修剪，以保持它的整洁和舒适。建议每半年进行一次全面的兽医检查，以确保它的健康状况良好,小云喜欢吃各种水果和蔬菜，并搭配高品质的鹦鹉饲料，避免喂食高盐分和高脂肪的食物，以及任何对鹦鹉有害的食物,小云非常友好，喜欢与人互动，可以模仿简单的单词和短语，它也喜欢玩耍，需要一些玩具来保持活跃和娱乐,1,小云在安静的环境中表现最好，不太喜欢长时间的孤独。它适合那些愿意花时间与鹦鹉互动的家庭，能够给予它足够的关注和陪伴,0,0,
14,10,4,408,阿历克斯,PetAdoptionImages/a7z9oa6jt6oc027x6c9gx7yr97krysddg0hbl6hmwt9t6dknxujv8rvtmoqzci98.jpg,5,江苏省 / 苏州市 / 姑苏区,由于工作调动，原主人无法带阿历克斯一起出国，希望给它找到一个能够给予足够关爱的新家,阿历克斯身体健康，活泼开朗，羽毛色泽鲜艳,2024-09-02 16:00:00,已完成基础疫苗接种，包括禽流感和PBFD疫苗,阿历克斯需要定期的羽毛梳理和清洁，以及定期的趾甲修剪。建议每六个月进行一次全面的兽医检查,阿历克斯主要吃高质量的鹦鹉颗粒饲料，并享受新鲜的水果和蔬菜作为补充，如苹果、香蕉、菠菜和胡萝卜。应避免喂食油炸食品、巧克力、咖啡因和酒精等对鹦鹉有害的食物,阿历克斯非常聪明且善于交际，能学会一些简单的词汇和短语。它喜欢玩耍，特别是喜欢摆弄绳索和木头玩具,1,阿历克斯是一只非常聪明且充满好奇心的鹦鹉，它喜欢与人互动，能够成为家庭中的快乐源泉。它对学习新词汇和短语有着浓厚的兴趣，经常会模仿主人的声音，带来不少乐趣。阿历克斯也非常喜欢玩具，尤其是那些可以锻炼它智力的玩具，如解谜玩具和互动式游戏,1,0,
15,11,4,410,布鲁,PetAdoptionImages/bwwcil63qk9zs0ow1ptjfov5aaxia832vmzv8pwl0zosltgu5i1o09ly4yol9u27.jpg,3,山东省 / 青岛市 / 崂山区,原主人因为家庭原因，无法继续照顾布鲁，希望为它找到一个有经验的爱鸟人士，一个能够给予它足够关爱和耐心的新家,布鲁身体状况良好，羽毛亮丽，活泼好动,2024-07-23 16:00:00,已完成基础疫苗接种，包括禽流感和PBFD疫苗,布鲁需要定期的羽毛修剪和趾甲修整，以保持其整洁和舒适。它也需要定期的社交互动以维持心理健康，避免孤独感导致的行为问题,布鲁主要食用高质量的鹦鹉颗粒饲料，并辅以新鲜水果、蔬菜和偶尔的种子和坚果，但要限制其摄入量以避免脂肪积累,布鲁非常聪明且好奇心强，能够学会模仿人类语言和环境中的声音。它喜欢与人互动，也喜欢玩耍各种鹦鹉玩具,1,布鲁有时会表现出轻微的领地意识，需要温和而一致的训练来帮助它适应新环境。布鲁在较为安静的环境中表现最好，不太喜欢长时间的孤独。为了帮助布鲁顺利过渡到新家，建议新主人给予它足够的耐心和时间,0,0,
16,8,5,501,小球,PetAdoptionImages/e954fii3jkd7e6rjfuj53fgd3skv13kpa56ebwuvjrh8hbceiykb54a7s9bxv6k2.jpg,1,湖南省 / 长沙市 / 芙蓉区,原主人因为工作调动，无法继续照顾小球，希望能为它找到一个温馨的家庭,小球身体健康，毛色光滑，活泼好动，没有明显的健康问题,2024-08-17 16:00:00,无需接种,小球需要定期清洁笼子，保证生活环境的卫生。还需要提供足够的木屑供其挖掘以及磨牙棒帮助牙齿保养，以避免牙齿过长带来的不适,小球主要食用高质量的仓鼠混合饲料，同时可以适量补充新鲜的蔬菜和水果，确保每天有足够的清水可供饮用，保持其水分平衡,小球性格温顺，喜欢与人互动。它很好奇，喜欢探索新的事物，也很享受被轻轻抚摸。它活泼好动，需要有足够的空间来奔跑和玩耍,1,小球已经习惯了晚上活动的模式，白天大部分时间都在睡觉。它适合单独饲养，因为它可能会攻击其他同伴。为了确保小球的安全和幸福，建议为它提供一个安静、没有强烈光线直射的环境,1,1,
17,20,5,503,雪球,PetAdoptionImages/r4tdlaxbvbgrqjvygul7i12hl1zqorrh77stmsv23t9jbwjljkwyek5wo84jr3bz.jpg,1,河南省 / 郑州市 / 二七区,由于家庭成员对宠物过敏，原主人不得不寻找新家给雪球，希望能找到一个有爱心的家庭来继续照顾它,雪球身体状况良好，毛发光泽，活跃度高，没有发现任何健康问题,2024-09-01 16:00:00,无需接种,雪球需要定期清洁笼子，保持生活环境的卫生。还需要提供足够空间供其奔跑和挖掘，以及适当的玩具促进运动,雪球主要食用高质量的仓鼠混合饲料，可以适当补充新鲜的蔬菜和水果。保证每天有足够的清水可供饮用，保持其水分平衡,雪球性格活泼好动，好奇心强，喜欢探索环境，也喜欢与人互动。它很聪明，能够学会简单的指令,1,雪球习惯于夜间活动，在白天大部分时间都会睡觉。它可以和其他冬白仓鼠一起饲养，但最好从小一起长大以避免争斗,0,0,
18,16,6,601,米菲,PetAdoptionImages/rpeosk349rn5mkj5pp7u47kpyy5eu7v9dfdjxxdlqaefrf6xy0afpfgveg22b6k2.jpg,2,广东省 / 东莞市 / 虎门镇,原主人因为工作调动，需要长期出差，无法继续照料米菲，希望为它找到一个充满爱的新家,米菲身体健康，定期接受兽医检查，没有已知的健康问题，整体看起来非常健康,2024-07-09 16:00:00,无需接种,荷兰兔需要定期梳理毛发以防止打结，并且需要定期剪指甲。米菲需要一个宽敞的生活空间，以便自由地跳跃和活动,米菲主要食用高质量的干草，适量的颗粒饲料，新鲜的蔬菜，并确保有清洁的饮水。为了保持其健康状态，建议提供多样化的食物，并注意适量喂食，以避免过度喂食导致肥胖或其他健康问题,米菲性格温顺友好，对人亲近，喜欢被抚摸，也很活跃，喜欢探索新的事物。它喜欢与人互动，能够成为家庭中的快乐源泉,0,米菲习惯于白天活动，需要定期的社交互动和足够的运动空间，以保持其身心健康,0,1,
19,11,6,604,莱昂,PetAdoptionImages/1czi2zcqo7j1k1n2jlk25veu4x6kc8e3za4rclnb4ppceam41oe9897g66x1vqr7.jpg,2,辽宁省 / 沈阳市 / 和平区,由于家庭成员对兔子毛发过敏，不得不寻找新主人。希望能为莱昂找到一个充满爱心且能给予足够关注的家庭,莱昂身体健康，活泼好动，没有已知的健康问题,2024-08-25 16:00:00,无需接种,莱昂的长毛需要定期梳理，以避免毛发打结和吞食过多毛发引起的问题。建议每周至少梳理2-3次，以保持其毛发的整洁和健康。此外，莱昂还需要定期剪指甲，以避免过长的指甲影响其行走和活动,莱昂主要吃干草，每天需要一定量的优质颗粒饲料，并可以适量喂食新鲜的蔬菜。确保莱昂随时有干净的水可供饮用,莱昂性格温和，好奇心强，喜欢与人互动，适应能力强，容易训练。它喜欢被抚摸，也很享受探索新的事物。莱昂非常适合那些愿意花时间与兔子互动的家庭，能够给予它足够的关注和陪伴,1,莱昂习惯于白天活动，需要定期的社交互动和足够的运动空间，以保持其身心健康,1,0,
20,12,6,602,雪球,PetAdoptionImages/6thzyx5wxh343bydu7f244c6s84enyfo3qkm6u5t6wyhqejjpknvk1y8ruqz1pt9.jpg,1,浙江省 / 宁波市 / 镇海区,主人工作调动至国外，无法携带宠物同行，希望为雪球找到一个充满爱的新家,雪球身体健康，活泼好动，无任何已知疾病史,2024-08-13 16:00:00,无需接种,由于雪球有着长而密集的毛发，需要每天至少梳理一次，以防打结，每两周需要进行一次专业级别的美容梳理，包括剪毛和清洁耳朵,雪球主要食用干草，每天需要定量的优质颗粒饲料，并可适量喂食新鲜蔬菜。确保雪球随时都有清洁的饮用水,雪球性格温顺，友好，易于亲近，喜欢安静的环境，也喜欢有人陪伴。它喜欢被抚摸，也很享受探索新的事物。雪球非常适合那些愿意花时间与兔子互动的家庭，能够给予它足够的关注和陪伴,1,雪球喜欢安静的环境，也喜欢有人陪伴，因此适合那些能够提供稳定和安宁生活环境的家庭。为了确保雪球的幸福，新家应该能够提供一个温暖、充满爱的氛围，让它感受到家的温暖,0,1,
21,9,6,609,小豆,PetAdoptionImages/jx9byxtmp3xhi89petu82djfg49empuvg6x5yu3dc51a6rq8iw3ynl65xd6f6qw8.jpg,2,辽宁省 / 大连市 / 中山区,主人即将搬入一处不允许养宠物的新公寓，希望为小豆找到一个稳定且充满爱心的新家庭,小豆身体健康，活泼好动，无任何已知疾病史,2024-09-04 16:00:00,无需接种,小豆的毛发相对短一些，但仍然需要定期的梳理，以避免毛发打结并帮助控制换毛期的掉毛量。建议每周至少梳理一次，以保持其毛发的整洁和健康,小豆的主要食物是干草，需要每日定量的优质颗粒饲料，可以适量添加新鲜蔬菜作为零食。确保小豆随时都有清洁的饮用水,小豆性格温顺，好奇心强，容易与人亲近，喜欢探索周围的环境。它喜欢被抚摸，也很享受探索新的事物,0,小豆喜欢和其他安静的小动物相处，例如另一个温和的兔子,0,0,
22,19,7,702,绿叶,PetAdoptionImages/7r1d1c4jwpw0xsmrvbjx2pkszev8l6obquc49dh1f3hfus5mrb1te46s6nxdtxt9.jpg,3,山东省 / 济南市 / 天桥区,由于个人工作调动，无法继续照顾绿叶，希望找到一个能给它温馨家的新主人,良好，无任何疾病史,2024-07-20 16:00:00,已完成基础疫苗接种，包括乌龟呼吸道疾病疫苗,需要定期检查并清洁龟壳，保持水质清洁，以及提供充足的阳光照射,,绿叶性格温顺，喜欢安静的环境，经常晒太阳。它也很享受被轻轻触摸头部。绿叶非常适合那些愿意花时间与龟互动的家庭，能够给予它足够的关注和陪伴,1,绿叶喜欢游泳，所以需要一个足够大的水池或水缸，此外，它还喜欢探索周围的环境，因此需要一个安全的空间让它自由活动,0,0,
23,8,7,708,赫米,PetAdoptionImages/gcc4jo6jldtsbo6m7u3og8tuoy4efavkswwwyo6gc5fak31xwa7bjmfehsgwbfct.jpg,5,广东省 / 佛山市 / 南海区,个人健康问题，无法继续照顾赫米，希望为它找到一个可以给予更好照顾的新主人,赫米目前存在一些健康问题，它活泼好动，但最近表现出了一些症状，如食欲减退和活动减少。虽然没有严重的健康问题，但它需要定期接受兽医的检查和治疗,2024-09-06 16:00:00,已完成基础疫苗接种，包括乌龟沙门氏菌疫苗,,,赫米性格温和，喜欢在温暖的天气里晒太阳。它很好奇，喜欢探索周围的环境，但同时也需要一个安静的地方休息,1,赫米需要一个室外的围栏或室内足够大的空间来生活，以确保它可以自由地走动并有足够的日照。最好是在有草坪或者草地的环境中,0,1,
24,5,8,803,闪电,PetAdoptionImages/l4p3nzp19xbjw5vy0x5g80k6swbqaf6ivce493lhxh5pmvpzff70p3cl8v3v70cj.jpg,1,云南省 / 昆明市 / 盘龙区,因工作调动，需要频繁出差，无法提供稳定的照料环境，希望为闪电找到一个充满爱的新家,良好，无任何疾病史，定期接受兽医检查,2024-08-16 16:00:00,已完成基础疫苗接种，包括蜥蜴呼吸道疾病疫苗,,主要食用蟋蟀和钙粉补充剂，偶尔喂食少量新鲜蔬菜,闪电非常温顺，容易接触，喜欢被轻轻抚摸头部。适应能力强，不抗拒新环境,1,闪电非常活跃且温顺，非常适合有经验的宠物爱好者领养。它喜欢与人互动，适应能力强，不抗拒新环境。闪电需要一个安静、稳定的环境，以及定期的社交互动和足够的运动空间，以保持其身心健康,0,0,
